Age,DailyRate,DistanceFromHome,Education,JobLevel,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,Attrition
41,1102,1,2,2,4,5993,1,6,4,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,Yes
49,279,8,1,2,2,5130,3,10,7,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,No,No
37,1373,2,2,1,3,2090,3,0,0,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,Yes,Yes
33,1392,3,4,1,3,2909,3,8,7,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,No
27,591,2,1,1,2,3468,3,2,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,No
32,1005,2,2,1,4,3068,2,7,7,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,No
59,1324,3,3,1,1,2670,2,1,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,Yes,No
30,1358,24,1,1,3,2693,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,No
38,216,23,3,3,3,9526,3,9,7,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,No
36,1299,27,3,2,3,5237,2,7,7,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,No,No
35,809,16,3,1,2,2426,3,5,4,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,No
29,153,15,2,2,3,4193,3,9,5,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Yes,No
31,670,26,1,1,3,2911,2,5,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,No
34,1346,19,2,1,4,2661,3,2,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,No
28,103,24,3,1,3,2028,3,4,2,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Yes,Yes
29,1389,21,4,3,1,9980,3,10,9,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,No,No
32,334,5,2,1,2,3298,2,6,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Yes,No
22,1123,16,2,1,4,2935,2,1,0,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,Yes,No
53,1219,2,4,4,4,15427,3,25,8,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,No
38,371,2,3,1,4,3944,3,3,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,No
24,673,11,2,2,3,4011,2,4,2,Non-Travel,Research & Development,Other,Female,Manufacturing Director,Divorced,No,No
36,1218,9,4,1,1,3407,3,5,3,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,No,Yes
34,419,7,4,3,2,11994,3,12,6,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,No,No
21,391,15,2,1,4,1232,3,0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,No
34,699,6,1,1,1,2960,3,4,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,Yes
53,1282,5,3,5,3,19094,2,14,13,Travel_Rarely,Research & Development,Other,Female,Manager,Divorced,No,No
32,1125,16,1,1,1,3919,3,10,2,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,Yes,Yes
42,691,8,4,2,2,6825,3,9,7,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,No
44,477,7,4,3,4,10248,3,22,6,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,No,No
46,705,2,4,5,1,18947,2,2,2,Travel_Rarely,Sales,Marketing,Female,Manager,Single,No,No
33,924,2,3,1,4,2496,3,1,1,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,No
44,1459,10,4,2,4,6465,4,4,2,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Married,Yes,No
30,125,9,2,1,3,2206,3,10,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,No
39,895,5,3,2,4,2086,4,1,0,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,No,Yes
24,813,1,3,1,4,2293,2,2,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,Yes
43,1273,2,2,1,3,2645,2,5,3,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced,No,No
50,869,3,2,1,3,2683,3,3,2,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,Yes,Yes
35,890,2,3,1,4,2014,3,2,2,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married,No,No
36,852,5,4,1,1,3419,4,1,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,No
33,1141,1,3,2,1,5376,3,5,3,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,No
35,464,4,2,1,4,1951,3,1,0,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,No,No
27,1240,2,4,1,1,2341,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,No
26,1357,25,3,1,3,2293,2,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,Yes
27,994,8,3,3,3,8726,3,9,8,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,No,No
30,721,1,2,2,4,4011,3,12,8,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,No,No
41,1360,12,3,5,3,19545,3,22,15,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,No,Yes
34,1065,23,4,2,3,4568,3,9,5,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,No,No
37,408,19,2,1,2,3022,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,No
46,1211,5,4,2,4,5772,3,9,6,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,Yes,No
35,1229,8,1,1,4,2269,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
48,626,1,2,3,3,5381,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Yes,Yes
